Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,SetosaScore,VersicolorScore,VirginicaScore
1,5.5,2.5,4.0,1.3,0.0854679647438755,0.9065290289848744,-0.0229236995564472
2,6.9,3.1,5.4,2.1,0.1075376028374632,-0.093120421951075,1.1503474730911405
3,5.8,2.8,5.1,2.4,0.1663871964731272,0.0892251620818633,0.890712423470979
4,6.3,2.8,5.1,1.5,0.131216028288207,-0.0505469603377153,0.8213051564760884
5,4.9,2.5,4.5,1.7,-0.1929570798804367,-0.0811492723234355,0.970755939073956
6,4.6,3.4,1.4,0.3,0.9672476875433946,-0.1527596680650258,-0.012010109764116
7,5.4,3.9,1.3,0.4,0.9256919899835622,-0.1748867449304169,0.0347358233753649
8,6.6,3.0,4.4,1.4,0.0467284857225796,1.0885717686949432,0.0962803332270235
9,6.4,3.2,4.5,1.5,-0.1943898925468077,1.1607131450661436,-0.0471140125205752
10,7.7,3.8,6.7,2.2,0.0805794291841404,0.0255208844549488,1.0647604737149874
11,4.3,3.0,1.1,0.1,1.0977488308825514,0.1240566744880771,-0.0245944288882812
12,4.7,3.2,1.3,0.2,0.8455119043283654,0.1296770440390127,0.0120801195224591
13,7.7,2.6,6.9,2.3,0.0336322421561852,-0.1823131151297858,1.0747225355773922
14,7.7,2.8,6.7,2.0,0.0494274869060425,-0.118520326620444,1.0487258740846717
15,6.3,2.5,5.0,1.9,0.1763617835069766,0.162523310961166,1.0242322287587136
16,5.9,3.0,5.1,1.8,-0.0774760273670298,0.1647724121676914,0.9051460086456456
17,6.0,2.2,4.0,1.0,0.1910600522632531,1.0472657679020758,-0.1623823586386129
18,6.7,3.3,5.7,2.5,-0.0608801128732661,0.1798462260082824,1.1034009598884325
19,6.4,3.2,5.3,2.3,-0.1051517299923829,-0.0269837049180142,1.1129371975073814
20,5.5,4.2,1.4,0.2,1.006788167965098,0.0948053453616375,0.0045630276023827
21,5.8,2.7,5.1,1.9,0.1923873716072548,-0.0847627352388927,1.0936767228361486
22,6.0,2.9,4.5,1.5,0.0419606177095048,0.9458283403295188,0.0839613561525028
23,6.5,2.8,4.6,1.5,-0.0790013876415313,1.0694791915149828,0.0267644926379007
24,6.2,2.9,4.3,1.3,0.1898303324845565,1.056126669698121,-0.0477157091048836
25,6.8,2.8,4.8,1.4,-0.0379364369157627,1.0518079399961882,-0.0584822418533398
26,4.9,3.1,1.5,0.1,1.1738369035974945,0.1266933558029289,0.0381787534400896
27,7.2,3.6,6.1,2.5,-0.1654543121541486,-0.1061991483942644,1.0111641774986575
28,5.8,4.0,1.2,0.2,1.1307532336312511,-0.0516344033628748,-0.1005620253483728
29,5.7,2.8,4.5,1.3,-0.1694454909823406,0.8993376921243106,-0.0989633340396552
30,5.5,3.5,1.3,0.2,1.1355966779875528,0.0015804391685589,0.1325736417968375
31,5.0,3.5,1.3,0.3,0.8542949106482636,-0.1744231252241996,0.1129336764597696
32,5.6,3.0,4.5,1.5,-0.1917662933627151,0.8231582876488773,0.0087431186210802
33,5.1,3.5,1.4,0.3,0.8807267866011739,0.1699095391544499,-0.0404187233093125
34,5.6,2.5,3.9,1.1,0.0735785655411928,1.1546834662654646,-0.0825016309767062
35,6.7,3.1,4.4,1.4,-0.0911462816706473,1.1274925288776656,-0.0387427970900771
36,5.8,2.6,4.0,1.2,0.1058883803034378,1.167573824527679,0.0065634957597279
37,5.1,3.8,1.5,0.3,0.9260119828344042,-0.1883850293939541,-0.063541556601509
38,5.1,2.5,3.0,1.1,-0.1086980903449311,1.0419253929363408,-0.0342647213027204
39,5.6,2.9,3.6,1.3,-0.1183037463317231,0.8169069429438764,0.190166103352255
40,7.6,3.0,6.6,2.1,0.1350016886407412,-0.0021975053862213,0.899934521506557
41,6.3,2.3,4.4,1.3,-0.0589374434591311,0.9786462364788224,0.0296142997334349
42,5.0,2.3,3.3,1.0,0.0971549906750384,1.0122336762908108,-0.137922352854638
43,6.9,3.1,5.1,2.3,-0.1559955225914289,0.1519549823793961,0.9216625771535344
44,6.3,3.3,6.0,2.5,0.1291301489881103,-0.0867487056747821,0.8976178880807422
45,6.1,2.8,4.7,1.2,0.0382789970914946,0.9714898826966368,-0.1041503108865556
46,6.6,2.9,4.6,1.3,0.1076424955603296,0.8990355116361218,0.1439162376122805
47,5.9,3.2,4.8,1.8,0.0274677065594262,0.9568759805798062,-0.1887167984090712
48,4.9,3.1,1.5,0.1,0.9719784857821072,-0.0622969813819931,-0.1373970212291279
49,6.0,3.4,4.5,1.6,-0.1080411591361377,0.8056386547707289,-0.1680490319583418
50,7.3,2.9,6.3,1.8,-0.1713337049668045,-0.0420505234320069,1.1981850700487306
51,5.8,2.7,5.1,1.9,-0.0215991420363384,0.159507756272882,1.1763611576731148
52,4.6,3.2,1.4,0.2,1.1238298188938014,-0.1109795660996399,-0.1034901897842627
53,4.8,3.0,1.4,0.3,0.9499850597716384,0.1922591005648132,-0.162903497105434
54,5.0,3.2,1.2,0.2,1.0782767610297117,-0.0143644341642205,-0.0847300074943101
55,5.5,2.4,3.8,1.1,-0.0525528283418793,0.9333703238061188,0.0622931896733977
56,5.0,3.5,1.6,0.6,1.0175786837531675,-0.0975428464758985,-0.1990593244026924
57,6.3,2.5,4.9,1.5,-0.0327242543914568,0.9703345497914816,0.0220716056284064
58,5.5,2.4,3.7,1.0,0.0915356330426361,0.9062453960350304,-0.0077801051781367
59,5.3,3.7,1.5,0.2,0.837562844567049,-0.1494726563322727,0.1991949395403353
60,7.4,2.8,6.1,1.9,-0.0031057317191043,-0.1805270223909015,1.1169322739908658
61,5.0,3.6,1.4,0.2,0.8856260015962871,0.0210811843308975,-0.1672766434111196
62,4.4,2.9,1.4,0.2,1.0672794498680354,0.0420045227691285,-0.0760453263312397
63,5.4,3.4,1.5,0.4,0.9150469260959734,0.0574640033787337,0.0573240101959264
64,6.2,2.8,4.8,1.8,-0.0716804270518539,0.1874428220968609,1.1002516647771188
65,6.3,2.7,4.9,1.8,0.1675759809205632,0.0446434408542933,0.901536058087296
66,7.9,3.8,6.4,2.0,0.0017401051464668,0.1224569528640664,0.8300307340319464
67,4.9,3.1,1.5,0.1,1.021949964248819,0.1930342840450032,-0.1024140089135453
68,7.1,3.0,5.9,2.1,0.1794938223490081,0.1023371342438363,1.02488342341852
69,5.4,3.9,1.7,0.4,0.9822027092724722,0.020054254695469,0.0297980352918897
70,5.0,3.4,1.6,0.4,0.8086457496735453,-0.158278294440558,-0.1137107040031474
71,6.7,3.0,5.2,2.3,-0.0229524555155475,-0.146570876320595,0.9811964358821365
72,6.4,3.1,5.5,1.8,-0.0284850759227032,-0.1921223927437203,0.9877198257286244
73,4.6,3.6,1.0,0.2,1.0540785859823054,0.0330273003560504,0.1047656787931392
74,5.1,3.8,1.9,0.4,0.8854644680543882,-0.0455197963516379,-0.1675039641856978
75,5.7,3.8,1.7,0.3,0.8658389414785153,-0.1968617048430747,0.1324539558521566
76,5.5,2.3,4.0,1.3,-0.0651052869529522,1.048881711735487,0.1429390399589192
77,6.3,2.9,5.6,1.8,-0.0317181085606247,0.1776054521538207,0.8104283837206884
78,6.7,3.1,5.6,2.4,-0.0997173701872018,-0.1691093817722661,0.8799506146331393
79,5.2,4.1,1.5,0.1,1.0802558477031636,-0.1392199317229476,0.0928144028376026
80,5.6,3.0,4.1,1.3,-0.0635365593144784,0.8275759541376904,-0.0050408823444829
81,6.2,2.2,4.5,1.5,-0.1785970331588761,0.8162993458150507,-0.1962924377649287
82,7.2,3.2,6.0,1.8,-0.0294507003068163,0.0845402627249127,0.8458170551888524
83,7.0,3.2,4.7,1.4,0.1540444914741633,0.8558047327896607,-0.0869244256680874
84,6.0,3.0,4.8,1.8,0.1226339437371599,0.1660891517315894,1.056363077388699
85,5.1,3.8,1.6,0.2,0.8196721444948657,0.1510586431019224,-0.0722595603390098
86,6.3,3.4,5.6,2.4,0.1812752261543419,-0.006381779232319,1.155541146102528
87,5.7,2.6,3.5,1.0,-0.0780414410474971,0.9411421329097104,-0.1009707420899031
88,5.7,3.0,4.2,1.2,-0.1023328651520063,0.8998805936922164,0.193213057339734
89,5.2,2.7,3.9,1.4,0.1187927306750903,0.8791776758074172,0.1393177992411095
90,6.4,2.7,5.3,1.9,-0.0520888702478461,-0.1645404373025195,0.9364685178927596
91,6.1,3.0,4.6,1.4,0.099980168821911,0.848345023395583,0.0897565439229019
92,6.2,3.4,5.4,2.3,0.1156284913749134,-0.0333147979904389,1.04995588271837
93,7.7,3.0,6.1,2.3,-0.0320384471548168,0.0564490626484904,0.9827199708751012
94,6.5,3.0,5.2,2.0,0.1763317760417899,-0.061714798548702,0.9097798929395042
95,5.9,3.0,4.2,1.5,0.0418919544982185,0.8073590301935869,-0.1309853112435904
96,6.5,3.0,5.8,2.2,-0.0437032604014487,-0.0786703735037903,0.9431167635826112
97,4.7,3.2,1.6,0.2,0.8676879298925597,0.1095637378745117,-0.0064477685665378
98,6.9,3.2,5.7,2.3,0.1072460796600124,0.1670780794130501,1.1689955753644052
99,5.1,3.7,1.5,0.4,1.0197582088114183,-0.1018175043788015,-0.099667569607975
100,4.9,2.4,3.3,1.0,-0.1493713152053677,0.9549286346950614,0.1592019719128063
101,5.4,3.0,4.5,1.5,-0.1145274968763347,1.130307670533982,0.0740211856914433
102,6.3,3.3,4.7,1.6,-0.1353753197158065,0.9437231390910136,0.1350942701351666
103,6.4,2.8,5.6,2.2,-0.0251907693310756,-0.0437947290783058,1.0924166032728575
104,5.7,2.9,4.2,1.3,0.0763492748251583,0.9260338773168002,-0.1379818257238714
105,6.8,3.2,5.9,2.3,-0.1317105628678339,-0.1811058234233135,0.813597697112051
106,5.6,2.8,4.9,2.0,-0.004685198044348,-0.0755049939169262,1.1744286875272842
107,6.0,2.2,5.0,1.5,-0.0705841371914731,0.0105204172024593,0.8718757707777068
108,7.2,3.0,5.8,1.6,-0.1173213799465178,0.1061098862187658,1.0905260012738631
109,5.1,3.5,1.4,0.2,1.061697553986844,-0.1347406752357564,0.034643333477482
110,5.6,2.7,4.2,1.3,0.0466693619464191,1.0412613748963078,-0.1709905720768656
111,5.5,2.6,4.4,1.2,0.1225783225033269,1.0584115552795046,-0.0449515881354626
112,6.5,3.2,5.1,2.0,-0.0032640601995218,0.1442210946534309,1.14491341525437
113,4.8,3.4,1.9,0.2,1.1035365952812983,0.0271896839294564,0.0314291857861329
114,6.1,3.0,4.9,1.8,0.118465297960588,0.044711084046022,1.096355043477422
115,6.5,3.0,5.5,1.8,-0.1199838571504382,-0.0297175780807104,1.0083288139799078
116,6.4,2.9,4.3,1.3,-0.0519692132765491,1.1520522243041444,0.0415192418140787
117,5.0,2.0,3.5,1.0,0.1853917582418211,0.9093780163787172,0.0378720007208777
118,5.0,3.4,1.5,0.2,1.197964118373978,-0.055052937714512,0.1415349146188215
119,6.4,2.8,5.6,2.1,0.1716081598887586,-0.1915665891416068,0.9312858925686412
120,4.5,2.3,1.3,0.3,1.159899222050892,0.0702590764051925,-0.1324723248702196
121,6.1,2.9,4.7,1.4,-0.0359734052543755,1.013862895028379,0.094849380512035
122,5.7,4.4,1.5,0.4,0.9065998657985834,0.1916364717716059,0.0979719765356926
123,6.0,2.7,5.1,1.6,-0.1429796300812139,0.9991864094007408,0.0124724818163196
124,6.1,2.6,5.6,1.4,0.186117434349616,0.068292904111445,1.0122621051823042
125,5.4,3.7,1.5,0.2,0.9944452568613432,0.1203592095847903,0.1256976948766376
126,5.0,3.0,1.6,0.2,1.163764116745524,0.0223488513253273,0.0464243874262798
127,5.2,3.4,1.4,0.2,1.130379323569227,0.0814411002274841,-0.1959285875048088
128,5.1,3.4,1.5,0.2,1.1033097312872104,-0.1464586043829983,-0.020746534611583
129,4.9,3.0,1.4,0.2,0.8782933195354855,0.0053244740606518,0.1495283699196965
130,5.7,2.8,4.1,1.3,-0.1411016472632759,0.8158385667675871,0.1168391523529006
131,6.8,3.0,5.5,2.1,-0.1341262751481456,-0.0349955755597462,0.9403106761433332
132,5.4,3.4,1.7,0.2,1.1910175537642544,-0.1529561930394684,-0.1532288148643812
133,4.6,3.1,1.5,0.2,0.9081425330291714,-0.1196533840713124,0.0825836888061491
134,5.7,2.5,5.0,2.0,-0.0810770395803771,0.1527693833911902,1.128130503489884
135,5.8,2.7,3.9,1.2,0.0003211500515434,0.8600998995309812,-0.0952230850112841
136,4.8,3.4,1.6,0.2,1.0376108782706446,-0.0343260444571286,0.0670677282094396
137,6.7,3.1,4.7,1.5,-0.173366747066997,1.0657524124520614,-0.0604295144455152
138,6.7,3.0,5.0,1.7,0.0718975817689637,0.9870163664763872,-0.0397671055018517
139,6.7,2.5,5.8,1.8,-0.1428181009443974,-0.1938608311257316,1.1579887473877124
140,6.9,3.1,4.9,1.5,-0.0917889685134562,1.0105529909879638,-0.1488184168444308
141,4.8,3.0,1.4,0.1,0.9645000166436688,0.1676298714742071,-0.1793050917860594
142,4.4,3.0,1.3,0.2,0.9810517145573462,-0.1023610279230615,-0.1176790939259871
143,6.1,2.8,4.0,1.3,-0.1415645955024968,0.9645393067240572,0.0333876141225479
144,5.2,3.5,1.5,0.2,1.1714319858158355,-0.0156471648872381,-0.1322589984783856
145,6.7,3.3,5.7,2.1,0.1989588235883998,0.190787407752421,1.108424884349284
146,4.4,3.2,1.3,0.2,0.9535481750748876,-0.1663442963985587,-0.0588036363225219
147,5.0,3.3,1.4,0.2,1.1050425582001235,0.1345345157160499,-0.1230272086295686
148,5.8,2.7,4.1,1.0,-0.0260476639260659,0.9307787629140364,0.029497437970075
149,5.1,3.3,1.7,0.5,1.1120315750146434,-0.1483178585928569,0.1921296211363273
150,4.8,3.1,1.6,0.2,1.166871169293573,-0.0275306923974353,0.0569335021586228
